Date,WorkoutType,Trainer
'2020/12/01',Cardio,A
'2020/12/02',Strength,B
'2020/12/03',Cardio,B
'2020/12/04',Strength,A
'2020/12/05',Cardio,B
'2020/12/06',Strength,B
'2020/12/07',Cardio,A
'2020/12/08',Strength,B
'2020/12/09',Cardio,B
'2020/12/10',Strength,A
'2020/12/11',Cardio,B
'2020/12/12',Strength,B
'2020/12/12',Cardio,A
'2020/12/13',Strength,B
'2020/12/14',Cardio,B
'2020/12/15',Strength,A
'2020/12/16',Cardio,B
'2020/12/17',Strength,B
'2020/12/18',Cardio,A
'2020/12/19',Strength,B
'2020/12/20',Cardio,B
'2020/12/21',Strength,A
,Cardio,B
'2020/12/23',Strength,B
'2020/12/24',Cardio,A
'2020/12/25',Strength,B
20201226,Cardio,B
'2020/12/27',Strength,A
'2020/12/28',Cardio,B
'2020/12/29',Strength,B
'2020/12/30',Cardio,A
'2020/12/31',Strength,B
